"nodename","intercept","age","sexmale","bmi","children","smokeryes","regionnorthwest","regionsoutheast","regionsouthwest","r-squared"
"1",-11975.4785508212,256.613829539628,-106.280189593792,345.29777677399,482.749513659822,23840.8904142225,-484.85227487683,-1260.72398813287,-1068.16699538233,0.747717249431527
"2",-11904.8706899223,263.501787798514,-98.9496312443029,333.003319787973,416.63103739079,24104.2191985947,-216.913264219288,-1179.9572312072,-872.430444713446,0.74535145321362
"4",-15299.6576721812,435.888119363433,232.093087473744,188.180199224372,973.305739356416,23135.2691953893,-885.120332856808,1354.08120191317,289.716603999371,0.826585195150735
"8",-17075.1630711197,461.463050500883,-995.131855276758,181.033290793868,1772.7170233679,20435.3117834744,-815.033943512307,2780.76082580922,1462.10256701978,0.77919273051087
"16",-18939.4767219984,481.013258199016,-688.273076422615,204.187384881158,1739.09101168781,21411.4411234176,-918.263690625658,3431.49966982263,3049.83455831839,0.788582798774715
"32",-20034.7564483548,483.035093803408,-560.329716870381,174.349432801167,2472.45111419147,21395.5692466168,689.850197661299,4454.884770501,5249.13455094545,0.818217720891155
"64",-29495.2308365324,448.113716888265,5496.37989471947,553.369765644349,1951.80653162133,18479.2965355373,-3031.89801730268,1076.47385071568,328.932707059214,0.901285748420737
"129",-23313.322911422,397.147204935907,5851.39536863162,424.161332377379,2604.3881052578,18118.5917946763,-2699.43038518994,352.703582463002,348.330056355958,0.904414387070594
"259",-17037.9944782552,244.731336770716,7810.08068501782,562.674789677597,1178.6346362239,20162.1604797013,-6240.76449316411,-2395.62865516751,-8640.89190233111,0.93023622001061
"518",-34892.0277264414,560.985790078185,1112.38799077319,648.287347172056,5808.99553629463,37339.8051752869,-8888.14207610995,-23388.549423186,NA,1
"65",38852.4380937204,907.433777806597,11669.9379919508,-2994.11708570793,6469.16639541692,14857.8104472962,NA,7472.94611380882,17032.5838321682,0.980921762454279
"33",2295.70439625868,205.005490970794,-478.326956467197,64.4208379440773,1095.34899073337,NA,-6850.01898097985,-6728.34847081476,-7828.66122543898,0.637676662372399
"67",13845.9981347669,204.865667359151,-468.727986361063,40.0889906288804,1273.11446851078,NA,-18120.7422956791,-17571.3412999921,-20961.5464777724,1
"17",-3088.38963634484,234.655729378911,1418.28014624812,13.564070434918,-25.5195149195847,13341.8058396856,NA,NA,-819.360424057504,1
"9",-11472.6122238113,422.708147401038,1709.26554767649,68.3961963155875,-164.504291849942,25704.7964842239,34.3435867759943,2601.4092900877,-54.8512964080294,0.896597009733375
"19",-12956.6270023769,425.063994122203,2678.21022688178,78.0121347764501,225.025544373687,25627.3542802919,175.793560557934,3681.85155097694,864.643581962994,0.8958052929284
"38",-19339.44923209,697.405088087529,-5202.94394865731,285.362527027549,-4828.08977070385,12356.9884662107,NA,887.096978583513,2737.08457733654,1
"77",-20044.5924058328,648.325097435172,-9282.76471942532,531.134862615983,-8458.0726908797,9776.37894253218,NA,-857.663174698385,NA,1
"39",-10843.8279734278,321.529160726647,3321.9364498121,133.859316735767,-4.73093353547338,30712.9493971302,-613.802078376438,942.438225304667,1992.72156214167,0.957183799160436
"79",-12358.8898307987,330.655475497726,3230.32915097905,180.960412290387,30.2294005819507,31013.5948648017,-1249.35431127387,315.742427421643,1797.19767575042,0.947930997420641
"158",-4084.90101962212,282.811065688418,898.030071146173,-5.44097270194381,-259.557632036259,30102.9107329721,NA,NA,NA,0.999771119640993
"159",-13046.7010580665,354.117396404105,3025.18327120257,207.078524063157,265.949718366641,31827.4218182752,-2597.40874744604,-1195.24873461765,1959.71795677727,0.941633253324493
"318",-6043.51772981611,282.235720223821,9020.9667579057,40.8176578736998,-348.70081854516,NA,-8143.74939659474,715.723104716229,NA,1
"319",-5860.4831166864,390.575854210742,4047.94720326779,-137.869539636288,-382.7905081906,32278.7091120962,1851.61873092498,3520.29952310069,2729.42167483112,0.942561693583489
"5",-11517.6383094389,248.839933244979,-114.159133857692,341.786608578299,382.916609876228,24119.806393697,-149.311519173226,-1343.14300426371,-904.349458623904,0.742513488238522
"10",-11467.2116228993,253.598610151976,-32.8984411246841,321.803380037872,365.016578619943,24187.6022978999,320.982559748454,-926.835616924056,-446.008726955303,0.747881055941155
"20",-14202.6701044596,272.678716946696,411.13326849771,325.936503969775,758.185144045463,24498.1404603459,1471.04686067258,-279.139051369657,83.0756094203167,0.789762716282122
"40",-15062.8854287007,323.439037859811,1706.49199272312,230.709135920759,676.517173939644,28004.9995189202,1005.22464430286,203.456165174734,407.472829302979,0.88289594200415
"80",-33356.7454739138,228.762073718858,-6872.69444831013,1555.63404407916,-1727.62169031449,17699.7793606168,-3197.26241839383,-28434.2938662039,-6732.37118586469,0.811117656667944
"160",-113533.545144363,-841.85845513456,-54104.5159214043,7200.12882533974,-1082.05460839995,38138.8058136877,4002.16478539636,-84866.1508959286,-33994.2455770037,1
