names.node_leaves.x..,X.Intercept.,age,sexmale,bmi,children,smokeryes,regionnorthwest,regionsoutheast,regionsouthwest,,,
1,-11892.40665,253.2452083,-203.0064378,348.3986846,442.1648044,23755.50755,-476.8752238,-1312.150812,-979.449013,,,age
2,-11433.53739,252.9580962,-425.5528781,346.3374986,472.4224715,23777.30023,-1199.297433,-1444.995587,-1266.397266,,Max,155344.4304
4,-12025.22451,374.9747217,2371.415489,221.4174229,-362.3987225,23163.06084,-1566.657457,-852.070152,-3263.626133,,Min,-180950.3521
8,-13576.03769,334.0285316,3122.197772,344.9557782,-1064.05777,22967.4026,-1369.741856,-1102.761621,-6384.104937,,Average,-128.7413154
16,-11992.91718,348.9235915,3344.080239,246.9335411,-689.6811408,21347.14303,-1737.289883,-849.9297363,-5425.829281,,Negative Values,1121.312546
32,-12301.4772,363.0704177,3587.273228,246.4559398,-778.0149381,21928.32616,-694.9103962,-1006.034667,-5174.310536,,Postive Values,1121.312546
64,-10330.01486,462.9997903,5360.778598,50.43322364,-1079.127734,20653.75616,-529.7465482,-191.0572371,-1579.015992,,,
128,55431.65158,-37.04492361,-162.6638311,-1061.436917,-3414.036993,NA,NA,NA,NA,,,
256,7258.649264,381.9104715,NA,NA,NA,NA,NA,NA,NA,,,
257,12268.885,-21.0387,-4817.2273,NA,NA,NA,NA,NA,NA,,,
515,-4591.41055,280.0380063,NA,NA,NA,NA,NA,NA,NA,,,
129,-23408.38599,591.0622385,5616.570467,381.2774613,-1331.06502,20745.2099,-710.53249,-8309.178395,-3110.04767,,,
258,-125132.2734,3049.259493,NA,NA,NA,NA,NA,NA,NA,,,
259,-18144.60048,513.8920195,4920.956448,303.3935345,220.418418,17188.40278,-1165.787771,-9176.325385,-6021.379998,,,
518,-17464.59104,853.0699602,-1072,1.39,585.8964875,22254.31327,3925.304801,-20670.93361,NA,,,
1036,34601.60222,-378.9334105,NA,NA,NA,NA,NA,NA,NA,,,
1037,1376.872,68.009,-1072,1.39,10791.68897,26964.67903,NA,NA,NA,,,
2074,-46290.19478,2055.600337,-1066.3983,NA,NA,NA,NA,NA,NA,,,
4149,3044.2133,NA,-1066.3983,NA,NA,NA,NA,NA,NA,,,
2075,-12923.64996,764.2469981,NA,1.39,NA,NA,NA,NA,NA,,,
4151,-12888.60134,764.4386835,NA,NA,NA,NA,NA,NA,NA,,,
519,115637.9369,1137.005159,42604.91906,-4946.619549,-9764.044656,NA,NA,NA,NA,,,
1038,-2345.768247,218.9513933,NA,NA,NA,NA,NA,NA,NA,,,
1039,-71580.75143,1952.809469,-2775.272398,NA,NA,NA,NA,NA,NA,,,
2079,-88579.29487,2299.718519,NA,NA,NA,NA,NA,NA,NA,,,
65,-4854.396842,228.849343,-5113.660178,52.45439919,1280.390395,25751.5426,NA,7256.033284,-289.1908154,,,
130,16895061.26,-173784.3503,2112500.651,-370192.8841,NA,NA,NA,NA,NA,,,
261,-541.9666222,206.3052556,-1300.716878,NA,NA,NA,NA,NA,NA,,,
522,-16475.74838,531.484475,NA,NA,NA,NA,NA,NA,NA,,,
131,-37989.62532,-228.3094274,28230.51449,1383.071293,4882.158058,NA,NA,NA,NA,,,
262,55858.21863,-636.5935524,3284.929502,-342.0728975,NA,NA,NA,NA,NA,,,
524,45480.7566,-555.6363,NA,NA,NA,NA,NA,NA,NA,,,
525,23391.94745,NA,NA,-342.0728975,NA,NA,NA,NA,NA,,,
33,-6337.722405,325.7840322,1177.958055,183.3046795,-2464.823249,9900.697082,-725.5122207,-1741.285193,-7068.778292,,,
66,-18219.00825,1134.450297,-23394.26918,NA,NA,NA,NA,NA,NA,,,
133,-2022.975742,234.6707135,NA,NA,NA,NA,NA,NA,NA,,,
67,416.3724061,226.1885255,-3226.192825,-18.95936306,695.0201815,12141.56562,NA,-219.2251131,-225.9939538,,,
134,-6327.31254,319.51681,NA,NA,NA,NA,NA,NA,NA,,,
135,-426.1044981,227.6953709,-2984.069483,-5.616033085,753.6554968,12560.51275,NA,NA,NA,,,
271,68922.15273,-15.48235985,-21894.96762,-1728.922786,7385.993015,NA,NA,NA,NA,,,
542,37468.56352,-364.9823575,-26206.35099,NA,NA,NA,NA,NA,NA,,,
1084,-5978.807847,324.6584579,NA,NA,NA,NA,NA,NA,NA,,,
543,360.1806469,136.9826594,NA,NA,NA,NA,NA,NA,NA,,,
17,-65483.07598,-72.68312627,14087.20089,2161.571211,5449.896255,35962.61702,NA,-665.74816,NA,,,
34,-69711.09998,-4.830146903,15963.09229,2174.943452,5443.767311,36030.41428,NA,NA,NA,,,
68,-69711.09998,-4.830146903,15963.09229,2174.943452,5443.767311,NA,NA,NA,NA,,,
